s_starkey,s_name,s_locationkey,s_constellation,s_distance,s_category,s_starcluster
1,Almach,101,Andromeda,350 ± 30 light years,2,
2,Alpheratz,102,Andromeda,97 ± 1 light years,2,
3,Adhil,103,Andromeda,214 ± 4 light years,6,
4,Buna,104,Andromeda,195.6 ± 0.8 light years,4,
5,Mirach,105,Andromeda,197 ± 7 light years,7,
6,Nembus,106,Andromeda,,,
7,Sterrennacht,107,Andromeda,,,
8,Titawin,108,Andromeda,,,
9,Veritate ,109,Andromeda,,,
10,Macondo,110,Antlia,91 ± 2 light years,6,
11,Karaka,111,Apus,132.2 ± 0.2 light years,6,
12,Albali,112,Aquarius,208 ± 3 light years,3,
13,Ancha,113,Aquarius,187 ± 2 light years,5,
14,Bosona,114,Aquarius,633 light years,6,
15,Bunda,115,Aquarius,,,
16,Lionrock,116,Aquarius,,,
17,Márohu,117,Aquarius,,,
18,Sadachbia,118,Aquarius,,,
19,Sadalmelik,119,Aquarius,,,
20,Sadalsuud,120,Aquarius,,,
21,Situla,121,Aquarius,,,
22,Skat,122,Aquarius,,,
23,Alshain,123,Aquila,44.7 ± 0.1 light years,5,
24,Altair,124,Aquila,194.95 ± 0.57 light years,3,
25,Chechia,125,Aquila,234.9 ± 0.9 light years,5,
26,Libertas,126,Aquila,,,
27,Okab,127,Aquila,,,
28,Petra,128,Aquila,,,
29,Phoenicia,129,Aquila,,,
30,Tarazed,130,Aquila,,,
31,Alcor,131,Ursa Major,81.7 ± 0.3 light years,3,
32,Alioth,132,Ursa Major,82.6 ± 0.4 light years,3,
33,Alkaid,133,Ursa Major,103.9 ± 0.8 light years,2,
34,Alkaphrah,134,Ursa Major,,,
35,Alula Australis,135,Ursa Major,,,
36,Alula Borealis,136,Ursa Major,,,
37,Aniara,137,Ursa Major,,,
38,Chalawan,138,Ursa Major,,,
39,Dombay,139,Ursa Major,,,
40,Dubhe,140,Ursa Major,,,
41,Intercrus,141,Ursa Major,,,
42,Liesma,142,Ursa Major,,,
43,Megrez,143,Ursa Major,,,
44,Merak,144,Ursa Major,,,
45,Mizar,145,Ursa Major,,,
46,Muscida,146,Ursa Major,,,
47,Násti,147,Ursa Major,,,
48,Phecda,148,Ursa Major,,,
49,Taiyangshou,149,Ursa Major,,,
50,Talitha,150,Ursa Major,,,
51,Tania Australis,151,Ursa Major,,,
52,Tania Borealis,152,Ursa Major,,,
